bowler,matches,total_balls,runs_conceded,wickets,wides,noballs,dot_balls,fours_conceded,sixes_conceded,legal_balls,overs,economy,bowling_average,bowling_strike_rate,dot_ball_pct,powerplay_runs_conceded,powerplay_wickets,powerplay_balls,powerplay_legal_balls,powerplay_economy,middle_runs_conceded,middle_wickets,middle_balls,middle_legal_balls,middle_economy,death_runs_conceded,death_wickets,death_balls,death_legal_balls,death_economy,best_wickets,best_runs_in_best
A Ashish Reddy,20,270,400,19,6,2,79,26,20,262,43.4,9.16,21.05,13.79,29.26,20.0,0.0,6.0,6.0,20.0,211.0,8.0,159.0,155.0,8.17,169.0,11.0,105.0,101.0,10.04,3,25
A Badoni,7,35,50,4,0,0,8,1,3,35,5.5,8.57,12.5,8.75,22.86,0.0,0.0,1.0,1.0,0.0,31.0,2.0,18.0,18.0,10.33,19.0,2.0,16.0,16.0,7.12,2,4
A Chandila,12,234,245,11,0,0,103,17,10,234,39.0,6.28,22.27,21.27,44.02,139.0,10.0,144.0,144.0,5.79,100.0,1.0,84.0,84.0,7.14,6.0,0.0,6.0,6.0,6.0,4,13
A Choudhary,5,108,144,5,6,1,42,13,6,101,16.5,8.55,28.8,20.2,38.89,46.0,3.0,37.0,36.0,7.67,58.0,1.0,44.0,41.0,8.49,40.0,1.0,27.0,24.0,10.0,2,17
A Dananjaya,1,25,47,0,1,0,6,2,4,24,4.0,11.75,999.0,999.0,24.0,12.0,0.0,6.0,6.0,12.0,35.0,0.0,19.0,18.0,11.67,0.0,0.0,0.0,0.0,0.0,0,47
A Flintoff,3,66,106,2,0,0,20,7,7,66,11.0,9.64,53.0,33.0,30.3,21.0,0.0,12.0,12.0,10.5,26.0,1.0,30.0,30.0,5.2,59.0,1.0,24.0,24.0,14.75,1,45
A Kamboj,11,198,288,10,6,3,74,27,14,189,31.3,9.14,28.8,18.9,37.37,232.0,8.0,161.0,156.0,8.92,53.0,1.0,34.0,30.0,10.6,3.0,1.0,3.0,3.0,6.0,3,13
A Kumble,42,983,1089,49,13,5,374,72,35,965,160.5,6.77,22.22,19.69,38.05,90.0,3.0,109.0,108.0,5.0,782.0,28.0,700.0,690.0,6.8,217.0,18.0,174.0,167.0,7.8,5,6
A Mishra,162,3444,4193,183,52,21,1185,239,184,3371,561.5,7.46,22.91,18.42,34.41,174.0,6.0,143.0,138.0,7.57,3188.0,132.0,2758.0,2712.0,7.05,831.0,45.0,543.0,521.0,9.57,5,17
A Mithun,16,312,477,8,15,9,90,42,21,288,48.0,9.94,59.62,36.0,28.85,105.0,1.0,71.0,66.0,9.55,217.0,2.0,156.0,144.0,9.04,155.0,5.0,85.0,78.0,11.92,2,37
A Nehra,88,1974,2537,121,57,9,798,279,76,1908,318.0,7.98,20.97,15.77,40.43,1387.0,45.0,1131.0,1093.0,7.61,356.0,13.0,297.0,288.0,7.42,794.0,63.0,546.0,527.0,9.04,5,29
A Nel,1,18,31,1,0,0,7,3,2,18,3.0,10.33,31.0,18.0,38.89,12.0,1.0,6.0,6.0,12.0,11.0,0.0,6.0,6.0,11.0,8.0,0.0,6.0,6.0,8.0,1,31
A Nortje,48,1142,1701,63,38,8,415,163,76,1096,182.4,9.31,27.0,17.4,36.34,638.0,22.0,459.0,444.0,8.62,320.0,12.0,227.0,218.0,8.81,743.0,29.0,456.0,434.0,10.27,4,34
A Singh,23,486,639,31,12,1,189,67,17,473,78.5,8.11,20.61,15.26,38.89,308.0,13.0,276.0,264.0,7.0,59.0,1.0,48.0,48.0,7.38,272.0,17.0,162.0,161.0,10.14,4,19
A Symonds,30,540,694,23,12,1,190,44,33,527,87.5,7.9,30.17,22.91,35.19,110.0,5.0,118.0,114.0,5.79,437.0,12.0,337.0,330.0,7.95,147.0,6.0,85.0,83.0,10.63,3,22
A Uniyal,2,38,67,3,2,0,8,6,3,36,6.0,11.17,22.33,12.0,21.05,22.0,1.0,13.0,12.0,11.0,18.0,0.0,6.0,6.0,18.0,27.0,2.0,19.0,18.0,9.0,3,41
A Zampa,22,475,656,32,8,0,139,36,35,467,77.5,8.43,20.5,14.59,29.26,48.0,3.0,43.0,42.0,6.86,442.0,16.0,342.0,336.0,7.89,166.0,13.0,90.0,89.0,11.19,6,19
AA Chavan,13,255,339,8,7,0,100,28,16,248,41.2,8.2,42.38,31.0,39.22,164.0,3.0,149.0,144.0,6.83,143.0,2.0,92.0,90.0,9.53,32.0,3.0,14.0,14.0,13.71,2,28
AA Jhunjhunwala,10,88,130,1,3,0,27,10,5,85,14.1,9.18,130.0,85.0,30.68,47.0,0.0,32.0,30.0,9.4,81.0,1.0,55.0,54.0,9.0,2.0,0.0,1.0,1.0,12.0,1,14
AA Kazi,1,13,21,1,1,0,2,1,1,12,2.0,10.5,21.0,12.0,15.38,0.0,0.0,0.0,0.0,0.0,21.0,1.0,13.0,12.0,10.5,0.0,0.0,0.0,0.0,0.0,1,21
AA Noffke,1,25,41,1,1,0,6,2,2,24,4.0,10.25,41.0,24.0,24.0,23.0,0.0,7.0,6.0,23.0,7.0,0.0,6.0,6.0,7.0,11.0,1.0,12.0,12.0,5.5,1,41
AB Agarkar,42,820,1174,33,36,2,254,113,41,782,130.2,9.01,35.58,23.7,30.98,295.0,6.0,194.0,180.0,9.83,568.0,18.0,435.0,420.0,8.11,311.0,9.0,191.0,182.0,10.25,3,25
AB Dinda,75,1589,2103,82,59,14,627,232,58,1516,252.4,8.32,25.65,18.49,39.46,1010.0,36.0,855.0,810.0,7.48,326.0,11.0,306.0,294.0,6.65,767.0,35.0,428.0,412.0,11.17,4,18
AB McDonald,10,188,263,14,2,0,50,20,11,186,31.0,8.48,18.79,13.29,26.6,64.0,3.0,43.0,42.0,9.14,148.0,7.0,115.0,114.0,7.79,51.0,4.0,30.0,30.0,10.2,4,42
AC Gilchrist,1,1,0,1,0,0,1,0,0,1,0.1,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0
AC Thomas,15,327,416,16,10,2,126,41,11,315,52.3,7.92,26.0,19.69,38.53,196.0,8.0,185.0,180.0,6.53,27.0,3.0,24.0,24.0,6.75,193.0,5.0,118.0,111.0,10.43,3,22
AC Voges,7,56,76,1,2,0,15,8,2,54,9.0,8.44,76.0,54.0,26.79,26.0,0.0,13.0,12.0,13.0,45.0,1.0,37.0,36.0,7.5,5.0,0.0,6.0,6.0,5.0,1,9
AD Mascarenhas,13,310,365,19,2,0,124,34,8,308,51.2,7.11,19.21,16.21,40.0,206.0,12.0,168.0,168.0,7.36,117.0,5.0,115.0,114.0,6.16,42.0,2.0,27.0,26.0,9.69,5,29
AD Mathews,44,807,1095,28,15,1,224,98,29,791,131.5,8.31,39.11,28.25,27.76,185.0,6.0,129.0,126.0,8.81,685.0,12.0,523.0,510.0,8.06,225.0,10.0,155.0,155.0,8.71,4,20
AD Russell,121,1885,2909,133,66,13,612,274,130,1806,301.0,9.66,21.87,13.58,32.47,584.0,23.0,427.0,407.0,8.61,1259.0,51.0,847.0,813.0,9.29,1066.0,59.0,611.0,586.0,10.91,6,25
AF Milne,10,217,339,9,9,1,69,35,13,207,34.3,9.83,37.67,23.0,31.8,158.0,3.0,101.0,96.0,9.88,90.0,1.0,58.0,54.0,10.0,91.0,5.0,58.0,57.0,9.58,3,32
AG Murtaza,12,269,322,12,5,0,101,22,14,264,44.0,7.32,26.83,22.0,37.55,52.0,3.0,79.0,78.0,4.0,216.0,9.0,165.0,162.0,8.0,54.0,0.0,25.0,24.0,13.5,3,20
AJ Finch,5,44,67,1,1,0,13,4,4,43,7.1,9.35,67.0,43.0,29.55,3.0,0.0,6.0,6.0,3.0,58.0,1.0,31.0,30.0,11.6,6.0,0.0,7.0,7.0,5.14,1,11
AJ Hosein,1,24,41,1,0,0,5,4,2,24,4.0,10.25,41.0,24.0,20.83,31.0,0.0,18.0,18.0,10.33,10.0,1.0,6.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1,41
AJ Tye,30,714,1005,48,27,3,208,90,33,684,114.0,8.82,20.94,14.25,29.13,260.0,13.0,198.0,192.0,8.12,282.0,8.0,211.0,204.0,8.29,463.0,27.0,305.0,288.0,9.65,5,18
AK Markram,19,191,275,6,3,1,47,15,15,187,31.1,8.82,45.83,31.17,24.61,59.0,1.0,44.0,42.0,8.43,215.0,5.0,146.0,144.0,8.96,1.0,0.0,1.0,1.0,6.0,2,30
AL Menaria,12,113,144,3,3,0,40,15,4,110,18.2,7.85,48.0,36.67,35.4,55.0,1.0,50.0,48.0,6.88,41.0,2.0,42.0,42.0,5.86,48.0,0.0,21.0,20.0,14.4,2,20
AM Nayar,19,239,323,9,10,0,69,22,13,229,38.1,8.46,35.89,25.44,28.87,10.0,0.0,6.0,6.0,10.0,304.0,8.0,227.0,217.0,8.41,9.0,1.0,6.0,6.0,9.0,3,13
AM Rahane,1,6,5,1,0,0,2,0,0,6,1.0,5.0,5.0,6.0,33.33,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1,5
AM Salvi,7,156,205,7,6,0,57,18,7,150,25.0,8.2,29.29,21.43,36.54,79.0,1.0,67.0,66.0,7.18,80.0,4.0,58.0,54.0,8.89,46.0,2.0,31.0,30.0,9.2,2,22
AN Ahmed,17,362,515,15,13,5,120,43,20,344,57.2,8.98,34.33,22.93,33.15,187.0,3.0,143.0,138.0,8.13,151.0,3.0,117.0,114.0,7.95,177.0,9.0,102.0,92.0,11.54,3,32
AP Dole,3,73,114,5,6,1,20,11,4,66,11.0,10.36,22.8,13.2,27.4,62.0,2.0,35.0,30.0,12.4,30.0,2.0,25.0,24.0,7.5,22.0,1.0,13.0,12.0,11.0,2,44
AR Patel,160,3371,4138,137,50,0,1087,260,170,3321,553.3,7.48,30.2,24.24,32.25,803.0,21.0,618.0,612.0,7.87,2783.0,94.0,2374.0,2339.0,7.14,552.0,22.0,379.0,370.0,8.95,4,21
AS Joseph,22,454,707,22,19,1,162,53,43,434,72.2,9.77,32.14,19.73,35.68,182.0,2.0,113.0,108.0,10.11,310.0,7.0,203.0,198.0,9.39,215.0,13.0,138.0,128.0,10.08,6,14
AS Rajpoot,29,567,844,24,28,10,192,89,31,529,88.1,9.57,35.17,22.04,33.86,419.0,9.0,286.0,270.0,9.31,222.0,6.0,171.0,157.0,8.48,203.0,9.0,110.0,102.0,11.94,5,15
AS Raut,5,30,45,0,0,0,6,4,1,30,5.0,9.0,999.0,999.0,20.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,18.0,18.0,10.67,13.0,0.0,12.0,12.0,6.5,0,7
AS Roy,10,167,218,8,7,0,56,17,10,160,26.4,8.17,27.25,20.0,33.53,90.0,2.0,54.0,54.0,10.0,116.0,5.0,101.0,96.0,7.25,12.0,1.0,12.0,10.0,7.2,2,19
AU Rashid,3,60,91,2,0,0,20,4,7,60,10.0,9.1,45.5,30.0,33.33,0.0,0.0,0.0,0.0,0.0,81.0,2.0,54.0,54.0,9.0,10.0,0.0,6.0,6.0,10.0,2,23
AUK Pathan,3,41,63,0,2,0,9,5,2,39,6.3,9.69,999.0,999.0,21.95,0.0,0.0,0.0,0.0,0.0,35.0,0.0,26.0,24.0,8.75,28.0,0.0,15.0,15.0,11.2,0,19
Abdul Samad,6,57,119,2,1,0,12,6,9,56,9.2,12.75,59.5,28.0,21.05,0.0,0.0,0.0,0.0,0.0,93.0,2.0,48.0,48.0,11.62,26.0,0.0,9.0,8.0,19.5,1,41
Abdur Razzak,1,14,29,0,1,1,5,3,1,12,2.0,14.5,999.0,999.0,35.71,0.0,0.0,0.0,0.0,0.0,29.0,0.0,14.0,12.0,14.5,0.0,0.0,0.0,0.0,0.0,0,29
Abhishek Sharma,32,345,509,11,8,1,91,35,25,336,56.0,9.09,46.27,30.55,26.38,99.0,0.0,68.0,66.0,9.0,357.0,10.0,258.0,252.0,8.5,53.0,1.0,19.0,18.0,17.67,2,24
Akash Deep,14,302,554,11,20,4,89,48,33,278,46.2,11.96,50.36,25.27,29.47,225.0,5.0,134.0,120.0,11.25,212.0,4.0,117.0,114.0,11.16,117.0,2.0,51.0,44.0,15.95,3,45
Akash Madhwal,17,376,598,26,17,7,105,55,25,352,58.4,10.19,23.0,13.54,27.93,105.0,5.0,79.0,78.0,8.08,233.0,10.0,142.0,138.0,10.13,260.0,11.0,155.0,136.0,11.47,6,6
Akash Singh,10,208,326,9,3,0,73,39,13,205,34.1,9.54,36.22,22.78,35.1,223.0,6.0,147.0,145.0,9.23,76.0,2.0,49.0,48.0,9.5,27.0,1.0,12.0,12.0,13.5,2,40
Aman Hakim Khan,1,6,13,0,0,0,1,1,1,6,1.0,13.0,999.0,999.0,16.67,0.0,0.0,0.0,0.0,0.0,13.0,0.0,6.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0,13
Anand Rajan,8,162,206,10,12,1,57,17,8,149,24.5,8.3,20.6,14.9,35.19,47.0,0.0,46.0,42.0,6.71,79.0,3.0,72.0,66.0,7.18,80.0,7.0,44.0,41.0,11.71,4,27
Ankit Sharma,21,375,453,12,8,0,137,28,18,367,61.1,7.41,37.75,30.58,36.53,152.0,6.0,146.0,144.0,6.33,252.0,6.0,203.0,198.0,7.64,49.0,0.0,26.0,25.0,11.76,2,21
Ankit Soni,6,112,145,4,3,0,37,8,7,109,18.1,7.98,36.25,27.25,33.04,3.0,1.0,6.0,6.0,3.0,138.0,3.0,105.0,102.0,8.12,4.0,0.0,1.0,1.0,24.0,2,28
Anureet Singh,22,430,636,21,11,7,139,65,22,412,68.4,9.26,30.29,19.62,32.33,199.0,7.0,166.0,162.0,7.37,194.0,4.0,127.0,120.0,9.7,243.0,10.0,137.0,130.0,11.22,3,23
Arjun Tendulkar,5,83,117,4,9,1,30,10,5,73,12.1,9.62,29.25,18.25,36.14,57.0,1.0,60.0,54.0,6.33,24.0,1.0,9.0,8.0,18.0,36.0,2.0,14.0,11.0,19.64,2,20
Arshad Khan,18,289,502,12,28,1,90,56,24,260,43.2,11.58,41.83,21.67,31.14,326.0,7.0,206.0,186.0,10.52,32.0,2.0,20.0,18.0,10.67,144.0,3.0,63.0,56.0,15.43,3,40
Arshad Khan (2),1,13,25,0,1,0,4,5,0,12,2.0,12.5,999.0,999.0,30.77,0.0,0.0,0.0,0.0,0.0,25.0,0.0,13.0,12.0,12.5,0.0,0.0,0.0,0.0,0.0,0,25
Arshdeep Singh,81,1820,2624,106,101,5,606,279,80,1714,285.4,9.19,24.75,16.17,33.3,1225.0,37.0,881.0,828.0,8.88,421.0,14.0,304.0,288.0,8.77,978.0,55.0,635.0,598.0,9.81,5,33
Ashwani Kumar,7,132,234,11,7,2,35,18,15,123,20.3,11.41,21.27,11.18,26.52,61.0,3.0,31.0,30.0,12.2,78.0,4.0,57.0,54.0,8.67,95.0,4.0,44.0,39.0,14.62,4,25
Atharva Taide,1,1,4,0,0,0,0,1,0,1,0.1,24.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,24.0,0,4
Avesh Khan,75,1684,2497,94,61,4,568,249,100,1619,269.5,9.25,26.56,17.22,33.73,914.0,22.0,597.0,581.0,9.44,579.0,24.0,443.0,426.0,8.15,1004.0,48.0,644.0,612.0,9.84,4,24
Azhar Mahmood,23,552,707,31,10,5,199,73,18,537,89.3,7.9,22.81,17.32,36.05,163.0,6.0,148.0,144.0,6.79,205.0,7.0,190.0,186.0,6.61,339.0,18.0,214.0,207.0,9.83,3,26
Azmatullah Omarzai,15,300,476,12,12,0,95,51,18,288,48.0,9.92,39.67,24.0,31.67,266.0,3.0,168.0,162.0,9.85,114.0,6.0,84.0,78.0,8.77,96.0,3.0,48.0,48.0,12.0,2,27
B Akhil,13,193,246,7,4,1,60,18,9,188,31.2,7.85,35.14,26.86,31.09,12.0,0.0,6.0,6.0,12.0,141.0,5.0,136.0,132.0,6.41,93.0,2.0,51.0,50.0,11.16,2,19
B Chipli,1,6,20,0,0,0,1,1,2,6,1.0,20.0,999.0,999.0,16.67,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0,20
B Geeves,2,49,91,2,1,0,15,17,1,48,8.0,11.38,45.5,24.0,30.61,50.0,1.0,25.0,24.0,12.5,31.0,1.0,18.0,18.0,10.33,10.0,0.0,6.0,6.0,10.0,1,41
B Kumar,190,4378,5541,213,144,12,1748,558,170,4222,703.4,7.87,26.01,19.82,39.93,2614.0,85.0,2411.0,2339.0,6.71,601.0,11.0,432.0,422.0,8.55,2326.0,117.0,1535.0,1461.0,9.55,6,31
B Laughlin,9,179,284,10,10,1,42,26,10,168,28.0,10.14,28.4,16.8,23.46,61.0,3.0,37.0,36.0,10.17,83.0,2.0,64.0,61.0,8.16,140.0,5.0,78.0,71.0,11.83,2,21
B Lee,38,916,1126,30,28,13,374,123,25,875,145.5,7.72,37.53,29.17,40.83,580.0,12.0,506.0,486.0,7.16,81.0,4.0,82.0,78.0,6.23,465.0,14.0,328.0,311.0,8.97,3,16
B Stanlake,6,150,200,7,6,0,64,19,9,144,24.0,8.33,28.57,20.57,42.67,111.0,2.0,89.0,84.0,7.93,78.0,5.0,55.0,54.0,8.67,11.0,0.0,6.0,6.0,11.0,2,29
BA Bhatt,15,303,408,13,6,1,93,35,13,296,49.2,8.27,31.38,22.77,30.69,116.0,4.0,97.0,96.0,7.25,194.0,7.0,141.0,137.0,8.5,98.0,2.0,65.0,63.0,9.33,4,22
BA Stokes,38,723,1023,31,30,4,228,99,33,689,114.5,8.91,33.0,22.23,31.54,290.0,9.0,191.0,186.0,9.35,388.0,6.0,314.0,299.0,7.79,345.0,16.0,218.0,204.0,10.15,3,20
BAW Mendis,10,248,306,9,3,1,76,17,12,244,40.4,7.52,34.0,27.11,30.65,67.0,2.0,59.0,58.0,6.93,161.0,4.0,135.0,132.0,7.32,78.0,3.0,54.0,54.0,8.67,2,38
BB Sran,24,516,767,20,30,3,168,73,29,483,80.3,9.53,38.35,24.15,32.56,357.0,6.0,242.0,228.0,9.39,269.0,7.0,178.0,168.0,9.61,141.0,7.0,96.0,87.0,9.72,3,29
BCJ Cutting,17,288,430,12,7,0,77,44,15,281,46.5,9.18,35.83,23.42,26.74,68.0,0.0,44.0,42.0,9.71,215.0,9.0,166.0,163.0,7.91,147.0,3.0,78.0,76.0,11.61,2,31
BE Hendricks,7,157,239,11,6,1,52,24,7,150,25.0,9.56,21.73,13.64,33.12,108.0,1.0,64.0,60.0,10.8,51.0,2.0,37.0,36.0,8.5,80.0,8.0,56.0,54.0,8.89,3,37
BJ Hodge,20,238,310,18,4,0,75,17,14,234,39.0,7.95,17.22,13.0,31.51,56.0,0.0,37.0,36.0,9.33,231.0,15.0,183.0,180.0,7.7,23.0,3.0,18.0,18.0,7.67,5,13
BJ Rohrer,1,7,12,0,1,0,1,2,0,6,1.0,12.0,999.0,999.0,14.29,0.0,0.0,0.0,0.0,0.0,12.0,0.0,7.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0,12
BMAJ Mendis,2,30,36,1,0,0,11,2,2,30,5.0,7.2,36.0,30.0,36.67,0.0,0.0,0.0,0.0,0.0,36.0,1.0,30.0,30.0,7.2,0.0,0.0,0.0,0.0,0.0,1,16
BW Hilfenhaus,17,390,497,23,15,3,173,48,21,372,62.0,8.02,21.61,16.17,44.36,260.0,13.0,252.0,240.0,6.5,54.0,3.0,37.0,36.0,9.0,183.0,7.0,101.0,96.0,11.44,3,27
Basil Thampi,25,539,862,26,17,1,152,75,41,521,86.5,9.93,33.15,20.04,28.2,257.0,2.0,167.0,162.0,9.52,269.0,8.0,192.0,186.0,8.68,336.0,16.0,180.0,173.0,11.65,4,29
Bipul Sharma,28,436,581,22,10,0,131,28,31,426,71.0,8.18,26.41,19.36,30.05,77.0,5.0,75.0,74.0,6.24,418.0,16.0,325.0,318.0,7.89,86.0,1.0,36.0,34.0,15.18,2,26
C Bosch,2,45,56,1,3,0,23,4,4,42,7.0,8.0,56.0,42.0,51.11,11.0,0.0,6.0,6.0,11.0,36.0,0.0,25.0,24.0,9.0,9.0,1.0,14.0,12.0,4.5,1,26
C Ganapathy,1,6,13,0,0,0,1,1,1,6,1.0,13.0,999.0,999.0,16.67,0.0,0.0,0.0,0.0,0.0,13.0,0.0,6.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0,13
C Green,29,462,675,20,22,1,149,58,31,439,73.1,9.23,33.75,21.95,32.25,143.0,3.0,104.0,96.0,8.94,338.0,12.0,257.0,246.0,8.24,194.0,5.0,101.0,97.0,12.0,2,41
C Munro,2,12,15,0,0,0,5,1,1,12,2.0,7.5,999.0,999.0,41.67,0.0,0.0,0.0,0.0,0.0,15.0,0.0,12.0,12.0,7.5,0.0,0.0,0.0,0.0,0.0,0,7
C Nanda,3,50,58,2,2,0,13,1,2,48,8.0,7.25,29.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,43.0,42.0,7.14,8.0,0.0,7.0,6.0,8.0,1,32
C Sakariya,20,479,649,20,30,5,146,53,23,444,74.0,8.77,32.45,22.2,30.48,227.0,6.0,206.0,198.0,6.88,185.0,6.0,128.0,120.0,9.25,237.0,8.0,145.0,126.0,11.29,3,31
C de Grandhomme,19,230,323,7,12,2,58,22,13,216,36.0,8.97,46.14,30.86,25.22,13.0,0.0,14.0,12.0,6.5,280.0,7.0,202.0,190.0,8.84,30.0,0.0,14.0,14.0,12.86,3,4
CH Gayle,38,584,755,19,27,3,180,49,27,554,92.2,8.18,39.74,29.16,30.82,169.0,3.0,128.0,120.0,8.45,352.0,7.0,295.0,282.0,7.49,234.0,9.0,161.0,152.0,9.24,3,21
CH Morris,81,1801,2377,107,70,5,668,222,79,1726,287.4,8.26,22.21,16.13,37.09,900.0,25.0,717.0,684.0,7.89,518.0,18.0,412.0,396.0,7.85,959.0,64.0,672.0,646.0,8.91,5,23
CJ Anderson,22,315,525,14,18,0,79,52,23,297,49.3,10.61,37.5,21.21,25.08,121.0,2.0,74.0,71.0,10.23,203.0,5.0,142.0,138.0,8.83,201.0,7.0,99.0,88.0,13.7,3,47
CJ Dala,1,19,34,0,1,0,7,3,2,18,3.0,11.33,999.0,999.0,36.84,17.0,0.0,7.0,6.0,17.0,17.0,0.0,12.0,12.0,8.5,0.0,0.0,0.0,0.0,0.0,0,34
CJ Green,1,17,24,0,0,0,6,4,0,17,2.5,8.47,999.0,999.0,35.29,16.0,0.0,12.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,5.0,9.6,0,24
CJ Jordan,34,717,1111,36,38,5,206,96,46,674,112.2,9.89,30.86,18.72,28.73,243.0,6.0,159.0,150.0,9.72,326.0,12.0,262.0,246.0,7.95,542.0,18.0,296.0,278.0,11.7,4,12
CJ McKay,2,42,60,1,0,0,14,8,1,42,7.0,8.57,60.0,42.0,33.33,26.0,0.0,12.0,12.0,13.0,14.0,1.0,18.0,18.0,4.67,20.0,0.0,12.0,12.0,10.0,1,36
CK Kapugedera,3,17,49,0,0,0,0,5,3,17,2.5,17.29,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,11.0,11.0,18.55,15.0,0.0,6.0,6.0,15.0,0,15
CK Langeveldt,7,165,199,13,8,1,69,17,8,156,26.0,7.65,15.31,12.0,41.82,99.0,6.0,90.0,84.0,7.07,37.0,3.0,26.0,24.0,9.25,63.0,4.0,49.0,48.0,7.88,3,15
CL White,6,46,86,1,4,0,8,5,6,42,7.0,12.29,86.0,42.0,17.39,0.0,0.0,0.0,0.0,0.0,86.0,1.0,46.0,42.0,12.29,0.0,0.0,0.0,0.0,0.0,1,14
CR Brathwaite,16,266,384,16,9,3,74,37,12,254,42.2,9.07,24.0,15.88,27.82,30.0,1.0,24.0,24.0,7.5,259.0,8.0,185.0,174.0,8.93,95.0,7.0,57.0,56.0,10.18,3,47
CR Woakes,21,463,674,31,22,1,161,68,28,440,73.2,9.19,21.74,14.19,34.77,249.0,6.0,169.0,162.0,9.22,135.0,9.0,125.0,120.0,6.75,290.0,16.0,169.0,158.0,11.01,3,6
