bowler,matches,total_balls,runs_conceded,wickets,wides,noballs,dot_balls,fours_conceded,sixes_conceded,legal_balls,overs,economy,bowling_average,bowling_strike_rate,dot_ball_pct,powerplay_runs_conceded,powerplay_wickets,powerplay_balls,powerplay_legal_balls,powerplay_economy,middle_runs_conceded,middle_wickets,middle_balls,middle_legal_balls,middle_economy,death_runs_conceded,death_wickets,death_balls,death_legal_balls,death_economy,best_wickets,best_runs_in_best
CRD Fernando,10,249,306,19,11,4,99,30,9,234,39.0,7.85,16.11,12.32,39.76,90.0,7.0,82.0,78.0,6.92,84.0,5.0,77.0,72.0,7.0,132.0,7.0,90.0,84.0,9.43,5,18
CV Varun,83,1932,2432,102,36,8,696,164,110,1888,314.4,7.73,23.84,18.51,36.02,478.0,15.0,382.0,372.0,7.71,1521.0,68.0,1241.0,1212.0,7.53,433.0,19.0,309.0,304.0,8.55,5,20
D Brevis,1,3,8,1,0,0,1,2,0,3,0.3,16.0,8.0,3.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,3.0,16.0,1,8
D Jansen,1,28,53,1,4,0,6,3,4,24,4.0,13.25,53.0,24.0,21.43,16.0,0.0,7.0,6.0,16.0,13.0,0.0,6.0,6.0,13.0,24.0,1.0,15.0,12.0,12.0,1,53
D Kalyankrishna,3,50,88,2,2,0,10,8,4,48,8.0,11.0,44.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,71.0,2.0,44.0,42.0,10.14,17.0,0.0,6.0,6.0,17.0,1,30
D Pretorius,7,166,242,7,16,0,42,14,11,150,25.0,9.68,34.57,21.43,25.3,0.0,0.0,0.0,0.0,0.0,93.0,4.0,85.0,78.0,7.15,149.0,3.0,81.0,72.0,12.42,2,32
D Salunkhe,5,51,80,1,3,1,13,6,3,47,7.5,10.21,80.0,47.0,25.49,0.0,0.0,0.0,0.0,0.0,73.0,1.0,45.0,41.0,10.68,7.0,0.0,6.0,6.0,7.0,1,22
D Wiese,15,307,447,17,10,1,82,47,11,296,49.2,9.06,26.29,17.41,26.71,87.0,6.0,75.0,72.0,7.25,252.0,3.0,167.0,162.0,9.33,108.0,8.0,65.0,62.0,10.45,4,36
D du Preez,2,43,56,4,0,1,18,6,1,42,7.0,8.0,14.0,10.5,41.86,12.0,3.0,18.0,18.0,4.0,28.0,1.0,18.0,18.0,9.33,16.0,0.0,7.0,6.0,16.0,3,32
DA Warner,1,2,2,0,1,0,0,0,0,1,0.1,12.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0,2
DAJ Bracewell,1,25,32,3,1,0,10,2,2,24,4.0,8.0,10.67,8.0,40.0,7.0,0.0,6.0,6.0,7.0,15.0,1.0,13.0,12.0,7.5,10.0,2.0,6.0,6.0,10.0,3,32
DB Ravi Teja,2,18,28,1,0,0,4,1,2,18,3.0,9.33,28.0,18.0,22.22,0.0,0.0,0.0,0.0,0.0,28.0,1.0,18.0,18.0,9.33,0.0,0.0,0.0,0.0,0.0,1,19
DE Bollinger,27,600,716,43,22,2,254,73,19,576,96.0,7.46,16.65,13.4,42.33,404.0,11.0,339.0,324.0,7.48,15.0,4.0,19.0,18.0,5.0,297.0,28.0,242.0,234.0,7.62,4,14
DG Nalkande,6,89,150,6,4,1,22,10,8,84,14.0,10.71,25.0,14.0,24.72,22.0,0.0,13.0,12.0,11.0,97.0,5.0,56.0,54.0,10.78,31.0,1.0,20.0,18.0,10.33,2,37
DJ Bravo,158,3296,4436,207,167,9,998,349,155,3120,520.0,8.53,21.43,15.07,30.28,304.0,13.0,243.0,228.0,8.0,1934.0,64.0,1590.0,1507.0,7.7,2198.0,130.0,1463.0,1385.0,9.52,4,42
DJ Harris,2,18,26,0,0,0,4,2,1,18,3.0,8.67,999.0,999.0,22.22,0.0,0.0,0.0,0.0,0.0,16.0,0.0,12.0,12.0,8.0,10.0,0.0,6.0,6.0,10.0,0,11
DJ Hooda,34,391,550,10,12,0,102,40,23,379,63.1,8.71,55.0,37.9,26.09,96.0,2.0,74.0,72.0,8.0,359.0,7.0,274.0,264.0,8.16,95.0,1.0,43.0,43.0,13.26,2,16
DJ Hussey,26,323,485,10,6,0,86,30,25,317,52.5,9.18,48.5,31.7,26.63,58.0,0.0,37.0,36.0,9.67,310.0,8.0,230.0,228.0,8.16,117.0,2.0,56.0,53.0,13.25,2,27
DJ Mitchell,4,51,97,1,3,0,5,9,4,48,8.0,12.12,97.0,48.0,9.8,0.0,0.0,0.0,0.0,0.0,97.0,1.0,51.0,48.0,12.12,0.0,0.0,0.0,0.0,0.0,1,18
DJ Muthuswami,6,84,108,4,0,0,44,14,3,84,14.0,7.71,27.0,21.0,52.38,99.0,3.0,72.0,72.0,8.25,8.0,0.0,6.0,6.0,8.0,1.0,1.0,6.0,6.0,1.0,2,18
DJ Thornely,4,44,40,3,2,0,19,5,0,42,7.0,5.71,13.33,14.0,43.18,0.0,0.0,0.0,0.0,0.0,40.0,3.0,44.0,42.0,5.71,0.0,0.0,0.0,0.0,0.0,2,7
DJ Willey,11,221,277,7,5,0,79,28,8,216,36.0,7.69,39.57,30.86,35.75,155.0,3.0,139.0,138.0,6.74,58.0,2.0,42.0,42.0,8.29,64.0,2.0,40.0,36.0,10.67,2,16
DJG Sammy,19,244,354,14,6,2,72,33,12,236,39.2,9.0,25.29,16.86,29.51,34.0,1.0,25.0,24.0,8.5,208.0,9.0,165.0,162.0,7.7,112.0,4.0,54.0,50.0,13.44,6,23
DJM Short,2,18,23,1,0,0,7,1,1,18,3.0,7.67,23.0,18.0,38.89,0.0,0.0,0.0,0.0,0.0,23.0,1.0,18.0,18.0,7.67,0.0,0.0,0.0,0.0,0.0,1,10
DL Chahar,95,2009,2621,91,87,7,814,299,77,1915,319.1,8.21,28.8,21.04,40.52,2020.0,68.0,1570.0,1503.0,8.06,319.0,8.0,259.0,240.0,7.98,282.0,15.0,180.0,172.0,9.84,5,13
DL Vettori,34,785,894,34,8,0,270,67,24,777,129.3,6.9,26.29,22.85,34.39,98.0,2.0,91.0,90.0,6.53,573.0,23.0,528.0,522.0,6.59,223.0,9.0,166.0,165.0,8.11,5,15
DNT Zoysa,3,69,100,2,1,2,24,12,3,66,11.0,9.09,50.0,33.0,34.78,45.0,0.0,37.0,36.0,7.5,21.0,1.0,12.0,12.0,10.5,34.0,1.0,20.0,18.0,11.33,1,30
DP Nannes,29,689,815,38,39,4,285,89,15,646,107.4,7.57,21.45,17.0,41.36,377.0,17.0,368.0,342.0,6.61,125.0,0.0,103.0,96.0,7.81,313.0,21.0,218.0,208.0,9.03,4,27
DP Vijaykumar,9,159,205,4,5,2,63,23,5,152,25.2,8.09,51.25,38.0,39.62,126.0,3.0,104.0,102.0,7.41,24.0,0.0,24.0,24.0,6.0,55.0,1.0,31.0,26.0,12.69,1,18
DR Sams,16,389,528,15,27,2,142,41,25,360,60.0,8.8,35.2,24.0,36.5,214.0,8.0,192.0,180.0,7.13,163.0,5.0,127.0,114.0,8.58,151.0,2.0,70.0,66.0,13.73,4,30
DR Smith,46,557,825,27,14,4,168,75,33,539,89.5,9.18,30.56,19.96,30.16,123.0,5.0,67.0,66.0,11.18,544.0,15.0,415.0,402.0,8.12,158.0,7.0,75.0,71.0,13.35,4,8
DS Kulkarni,92,1876,2513,91,82,7,742,272,81,1787,297.5,8.44,27.62,19.64,39.55,1291.0,46.0,1044.0,1018.0,7.61,626.0,21.0,451.0,425.0,8.84,596.0,24.0,381.0,344.0,10.4,4,15
DS Rathi,13,321,435,14,7,2,95,37,14,312,52.0,8.37,31.07,22.29,29.6,128.0,2.0,94.0,90.0,8.53,209.0,8.0,164.0,162.0,7.74,98.0,4.0,63.0,60.0,9.8,2,31
DT Christian,49,922,1218,40,36,3,296,103,39,883,147.1,8.28,30.45,22.08,32.1,256.0,8.0,194.0,180.0,8.53,582.0,19.0,509.0,492.0,7.1,380.0,13.0,219.0,211.0,10.81,2,38
DW Steyn,95,2282,2583,105,93,7,1019,284,55,2182,363.4,7.1,24.6,20.78,44.65,1229.0,36.0,1195.0,1140.0,6.47,459.0,14.0,425.0,408.0,6.75,895.0,55.0,662.0,634.0,8.47,3,20
E Malinga,7,165,244,14,5,0,53,24,10,160,26.4,9.15,17.43,11.43,32.12,55.0,0.0,24.0,24.0,13.75,100.0,6.0,82.0,78.0,7.69,89.0,8.0,59.0,58.0,9.21,3,41
F du Plessis,1,6,16,0,0,0,0,0,2,6,1.0,16.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0,6.0,16.0,0,16
FA Allen,4,91,136,2,1,0,26,11,7,90,15.0,9.07,68.0,45.0,28.57,32.0,1.0,19.0,18.0,10.67,104.0,1.0,72.0,72.0,8.67,0.0,0.0,0.0,0.0,0.0,1,22
FH Edwards,6,150,160,6,9,1,70,20,2,140,23.2,6.86,26.67,23.33,46.67,61.0,4.0,82.0,78.0,4.69,14.0,0.0,12.0,12.0,7.0,85.0,2.0,56.0,50.0,10.2,2,27
FY Fazal,2,12,20,1,0,0,1,1,1,12,2.0,10.0,20.0,12.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,12.0,12.0,10.0,1,6
Fazalhaq Farooqi,12,266,440,6,12,0,80,55,12,254,42.2,10.39,73.33,42.33,30.08,197.0,3.0,138.0,132.0,8.95,119.0,2.0,76.0,72.0,9.92,124.0,1.0,52.0,50.0,14.88,2,32
G Coetzee,14,292,490,15,18,1,90,41,26,273,45.3,10.77,32.67,18.2,30.82,120.0,3.0,73.0,66.0,10.91,187.0,5.0,113.0,108.0,10.39,183.0,7.0,106.0,99.0,11.09,4,35
GB Hogg,21,466,585,25,7,1,159,40,21,458,76.2,7.66,23.4,18.32,34.12,54.0,5.0,49.0,48.0,6.75,410.0,13.0,324.0,318.0,7.74,121.0,7.0,93.0,92.0,7.89,4,30
GC Viljoen,6,146,229,8,8,0,43,25,6,138,23.0,9.96,28.62,17.25,29.45,55.0,3.0,37.0,36.0,9.17,82.0,3.0,64.0,60.0,8.2,92.0,2.0,45.0,42.0,13.14,3,39
GD McGrath,14,329,366,14,4,1,153,41,10,324,54.0,6.78,26.14,23.14,46.5,218.0,9.0,226.0,222.0,5.89,28.0,2.0,24.0,24.0,7.0,120.0,3.0,79.0,78.0,9.23,4,29
GD Phillips,4,31,40,2,1,0,10,4,1,30,5.0,8.0,20.0,15.0,32.26,4.0,1.0,6.0,6.0,4.0,36.0,1.0,25.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,1,17
GH Vihari,6,43,48,1,1,0,17,5,1,42,7.0,6.86,48.0,42.0,39.53,34.0,1.0,24.0,24.0,8.5,14.0,0.0,19.0,18.0,4.67,0.0,0.0,0.0,0.0,0.0,1,5
GHS Garton,5,97,136,3,5,2,31,11,6,90,15.0,9.07,45.33,30.0,31.96,108.0,1.0,66.0,60.0,10.8,11.0,1.0,13.0,12.0,5.5,17.0,1.0,18.0,18.0,5.67,1,27
GJ Maxwell,85,1047,1422,45,25,0,328,79,80,1022,170.2,8.35,31.6,22.71,31.33,379.0,12.0,268.0,258.0,8.81,948.0,30.0,715.0,702.0,8.1,95.0,3.0,64.0,62.0,9.19,2,10
GR Napier,1,24,28,1,0,0,8,2,1,24,4.0,7.0,28.0,24.0,33.33,3.0,0.0,6.0,6.0,3.0,25.0,1.0,18.0,18.0,8.33,0.0,0.0,0.0,0.0,0.0,1,28
GS Sandhu,2,48,86,1,0,0,9,8,2,48,8.0,10.75,86.0,48.0,18.75,7.0,0.0,6.0,6.0,7.0,29.0,0.0,18.0,18.0,9.67,50.0,1.0,24.0,24.0,12.5,1,37
Gagandeep Singh,4,84,142,3,0,0,25,14,6,84,14.0,10.14,47.33,28.0,29.76,7.0,0.0,6.0,6.0,7.0,71.0,2.0,54.0,54.0,7.89,64.0,1.0,24.0,24.0,16.0,1,37
Gulbadin Naib,1,6,12,0,0,0,1,2,0,6,1.0,12.0,999.0,999.0,16.67,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0,12
Gurkeerat Singh,6,82,97,5,4,0,26,6,3,78,13.0,7.46,19.4,15.6,31.71,19.0,0.0,12.0,12.0,9.5,78.0,5.0,70.0,66.0,7.09,0.0,0.0,0.0,0.0,0.0,2,17
Gurnoor Brar,1,21,42,0,1,2,7,4,3,18,3.0,14.0,999.0,999.0,33.33,18.0,0.0,13.0,12.0,9.0,24.0,0.0,8.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0,42
H Sharma,2,30,62,0,0,0,2,6,2,30,5.0,12.4,999.0,999.0,6.67,0.0,0.0,0.0,0.0,0.0,62.0,0.0,30.0,30.0,12.4,0.0,0.0,0.0,0.0,0.0,0,33
HF Gurney,8,169,239,7,6,1,50,23,7,162,27.0,8.85,34.14,23.14,29.59,66.0,2.0,70.0,66.0,6.0,62.0,1.0,43.0,42.0,8.86,111.0,4.0,56.0,54.0,12.33,2,25
HH Pandya,107,1714,2541,84,78,8,545,222,114,1628,271.2,9.36,30.25,19.38,31.8,601.0,13.0,395.0,384.0,9.39,1334.0,37.0,993.0,940.0,8.51,606.0,34.0,326.0,304.0,11.96,5,36
HR Shokeen,13,213,320,5,7,2,78,20,20,204,34.0,9.41,64.0,40.8,36.62,67.0,2.0,55.0,54.0,7.44,229.0,2.0,152.0,144.0,9.54,24.0,1.0,6.0,6.0,24.0,2,48
HV Patel,116,2570,3649,168,125,21,792,308,142,2424,404.0,9.03,21.72,14.43,30.82,595.0,15.0,407.0,384.0,9.3,1620.0,60.0,1253.0,1200.0,8.1,1434.0,93.0,910.0,840.0,10.24,6,27
Harbhajan Singh,160,3496,4101,161,76,4,1263,296,145,3416,569.2,7.2,25.47,21.22,36.13,928.0,32.0,788.0,773.0,7.2,2791.0,101.0,2426.0,2370.0,7.07,382.0,28.0,282.0,273.0,8.4,5,18
Harmeet Singh,28,574,747,31,21,4,201,69,22,549,91.3,8.16,24.1,17.71,35.02,147.0,6.0,103.0,96.0,9.19,422.0,12.0,336.0,324.0,7.81,178.0,13.0,135.0,129.0,8.28,3,25
Harpreet Brar,46,826,1097,35,14,1,269,75,48,811,135.1,8.12,31.34,23.17,32.57,234.0,2.0,140.0,138.0,10.17,764.0,30.0,629.0,618.0,7.42,99.0,3.0,57.0,55.0,10.8,4,30
Harsh Dubey,3,61,98,5,1,0,18,4,8,60,10.0,9.8,19.6,12.0,29.51,25.0,0.0,13.0,12.0,12.5,73.0,5.0,48.0,48.0,9.12,0.0,0.0,0.0,0.0,0.0,3,34
Harshit Rana,32,679,1047,42,26,4,247,99,56,649,108.1,9.68,24.93,15.45,36.38,481.0,17.0,308.0,294.0,9.82,309.0,11.0,205.0,198.0,9.36,257.0,14.0,166.0,157.0,9.82,3,33
I Malhotra,1,6,23,0,0,0,0,2,2,6,1.0,23.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,6.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0,23
I Sharma,117,2546,3465,100,104,23,999,391,102,2419,403.1,8.59,34.65,24.19,39.24,1942.0,60.0,1591.0,1521.0,7.66,652.0,17.0,456.0,432.0,9.06,871.0,23.0,499.0,466.0,11.21,5,13
I Udana,10,182,286,8,8,0,45,26,11,174,29.0,9.86,35.75,21.75,24.73,104.0,2.0,57.0,54.0,11.56,87.0,3.0,62.0,60.0,8.7,95.0,3.0,63.0,60.0,9.5,2,41
IC Pandey,24,469,609,19,5,2,212,77,17,462,77.0,7.91,32.05,24.32,45.2,312.0,12.0,269.0,264.0,7.09,230.0,5.0,162.0,162.0,8.52,67.0,2.0,38.0,36.0,11.17,2,23
IC Porel,1,26,42,1,2,0,7,6,1,24,4.0,10.5,42.0,24.0,26.92,26.0,0.0,13.0,12.0,13.0,16.0,1.0,13.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,1,42
IK Pathan,101,2113,2711,99,69,1,835,293,82,2043,340.3,7.96,27.38,20.64,39.52,1104.0,32.0,958.0,918.0,7.22,831.0,26.0,650.0,636.0,7.84,776.0,41.0,505.0,489.0,9.52,3,27
IS Sodhi,8,182,204,9,1,0,64,9,8,181,30.1,6.76,22.67,20.11,35.16,17.0,2.0,12.0,12.0,8.5,179.0,7.0,163.0,162.0,6.63,8.0,0.0,7.0,7.0,6.86,3,26
Imran Tahir,59,1340,1729,86,23,1,437,97,83,1316,219.2,7.88,20.1,15.3,32.61,85.0,3.0,55.0,54.0,9.44,1151.0,57.0,959.0,941.0,7.34,493.0,26.0,326.0,321.0,9.21,4,37
Iqbal Abdulla,48,943,1125,45,23,0,331,88,37,920,153.2,7.34,25.0,20.44,35.1,293.0,15.0,280.0,276.0,6.37,658.0,23.0,539.0,525.0,7.52,174.0,7.0,124.0,119.0,8.77,3,25
Ishan Kishan,1,1,4,0,0,0,0,1,0,1,0.1,24.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,24.0,0,4
J Botha,34,709,818,27,15,0,254,60,24,694,115.4,7.07,30.3,25.7,35.83,255.0,4.0,196.0,192.0,7.97,425.0,14.0,405.0,396.0,6.44,138.0,9.0,108.0,106.0,7.81,3,19
J Little,11,236,341,13,8,0,82,30,16,228,38.0,8.97,26.23,17.54,34.75,122.0,3.0,80.0,78.0,9.38,129.0,8.0,99.0,96.0,8.06,90.0,2.0,57.0,54.0,10.0,4,45
J Overton,3,41,84,0,5,0,9,3,8,36,6.0,14.0,999.0,999.0,21.95,59.0,0.0,29.0,24.0,14.75,25.0,0.0,12.0,12.0,12.5,0.0,0.0,0.0,0.0,0.0,0,30
J Suchith,21,434,604,20,14,0,140,47,26,420,70.0,8.63,30.2,21.0,32.26,104.0,3.0,75.0,72.0,8.67,473.0,16.0,347.0,336.0,8.45,27.0,1.0,12.0,12.0,13.5,2,14
J Syed Mohammad,11,196,286,10,4,0,47,18,12,192,32.0,8.94,28.6,19.2,23.98,14.0,1.0,18.0,18.0,4.67,239.0,8.0,160.0,156.0,9.19,33.0,1.0,18.0,18.0,11.0,2,26
J Theron,10,235,311,13,12,2,68,28,9,221,36.5,8.44,23.92,17.0,28.94,102.0,3.0,69.0,65.0,9.42,57.0,4.0,59.0,54.0,6.33,152.0,6.0,107.0,102.0,8.94,5,28
J Yadav,20,398,447,9,6,2,153,31,15,390,65.0,6.88,49.67,43.33,38.44,205.0,4.0,165.0,162.0,7.59,220.0,4.0,214.0,210.0,6.29,22.0,1.0,19.0,18.0,7.33,2,31
JA Morkel,87,1807,2409,96,71,13,646,264,56,1723,287.1,8.39,25.09,17.95,35.75,1300.0,35.0,947.0,900.0,8.67,597.0,22.0,522.0,498.0,7.19,512.0,39.0,338.0,325.0,9.45,4,32
JA Richardson,4,94,162,3,4,0,30,12,10,90,15.0,10.8,54.0,30.0,31.91,54.0,0.0,31.0,30.0,10.8,69.0,2.0,43.0,42.0,9.86,39.0,1.0,20.0,18.0,13.0,2,41
JC Archer,52,1279,1655,61,51,10,523,141,73,1218,203.0,8.15,27.13,19.97,40.89,602.0,23.0,571.0,546.0,6.62,268.0,12.0,231.0,216.0,7.44,785.0,26.0,477.0,456.0,10.33,3,23
JD Ryder,16,241,314,11,5,0,79,21,13,236,39.2,7.98,28.55,21.45,32.78,7.0,0.0,6.0,6.0,7.0,251.0,9.0,209.0,204.0,7.38,56.0,2.0,26.0,26.0,12.92,3,14
JD Unadkat,111,2340,3396,121,65,1,736,281,150,2274,379.0,8.96,28.07,18.79,31.45,1048.0,28.0,827.0,810.0,7.76,1161.0,31.0,840.0,822.0,8.47,1187.0,62.0,673.0,642.0,11.09,5,25
JDP Oram,14,244,362,13,6,1,79,34,14,237,39.3,9.16,27.85,18.23,32.38,173.0,4.0,113.0,108.0,9.61,78.0,1.0,55.0,54.0,8.67,111.0,8.0,76.0,75.0,8.88,3,32
JDS Neesham,13,222,342,8,6,0,63,32,14,216,36.0,9.5,42.75,27.0,28.38,67.0,1.0,37.0,36.0,11.17,235.0,7.0,173.0,168.0,8.39,40.0,0.0,12.0,12.0,20.0,3,12
JE Root,1,12,15,0,0,0,1,1,0,12,2.0,7.5,999.0,999.0,8.33,0.0,0.0,0.0,0.0,0.0,15.0,0.0,12.0,12.0,7.5,0.0,0.0,0.0,0.0,0.0,0,15
JE Taylor,5,122,167,6,4,1,48,10,9,117,19.3,8.56,27.83,19.5,39.34,51.0,0.0,51.0,48.0,6.38,20.0,0.0,18.0,18.0,6.67,96.0,6.0,53.0,51.0,11.29,3,31
JEC Franklin,15,155,225,9,2,2,39,21,6,151,25.1,8.94,25.0,16.78,25.16,20.0,1.0,12.0,12.0,10.0,163.0,5.0,119.0,115.0,8.5,42.0,3.0,24.0,24.0,10.5,2,35
JH Kallis,89,1799,2348,74,48,9,601,236,58,1742,290.2,8.09,31.73,23.54,33.41,640.0,20.0,535.0,516.0,7.44,1091.0,26.0,893.0,866.0,7.56,617.0,28.0,371.0,360.0,10.28,3,31
JJ Bumrah,145,3474,4162,203,82,33,1353,362,124,3359,559.5,7.43,20.5,16.55,38.95,1314.0,43.0,1187.0,1144.0,6.89,966.0,46.0,890.0,870.0,6.66,1882.0,114.0,1397.0,1345.0,8.4,5,29
JJ van der Wath,3,76,134,3,2,2,29,17,6,72,12.0,11.17,44.67,24.0,38.16,41.0,0.0,33.0,30.0,8.2,44.0,1.0,19.0,18.0,14.67,49.0,2.0,24.0,24.0,12.25,2,49
JL Pattinson,10,222,321,11,9,0,77,34,10,213,35.3,9.04,29.18,19.36,34.68,149.0,4.0,107.0,102.0,8.76,112.0,3.0,75.0,72.0,9.33,60.0,4.0,40.0,39.0,9.23,2,28
JM Kemp,5,47,58,3,3,0,15,6,1,44,7.2,7.91,19.33,14.67,31.91,0.0,0.0,0.0,0.0,0.0,57.0,3.0,46.0,43.0,7.95,1.0,0.0,1.0,1.0,6.0,3,15
JO Holder,46,1049,1489,59,51,3,321,132,54,995,165.5,8.98,25.24,16.86,30.6,519.0,12.0,364.0,348.0,8.95,467.0,16.0,361.0,345.0,8.12,503.0,31.0,324.0,302.0,9.99,4,33
JP Behrendorff,17,379,563,22,13,0,139,55,26,366,61.0,9.23,25.59,16.64,36.68,337.0,11.0,245.0,240.0,8.43,99.0,3.0,70.0,66.0,9.0,127.0,8.0,64.0,60.0,12.7,4,23
JP Duminy,49,701,847,23,23,0,234,53,33,678,113.0,7.5,36.83,29.48,33.38,207.0,3.0,166.0,162.0,7.67,553.0,17.0,478.0,462.0,7.18,87.0,3.0,57.0,54.0,9.67,4,19
JP Faulkner,60,1287,1849,76,44,5,399,160,67,1238,206.2,8.96,24.33,16.29,31.0,496.0,19.0,382.0,371.0,8.02,551.0,15.0,412.0,400.0,8.26,802.0,42.0,493.0,467.0,10.3,5,20
JPR Scantlebury-Searles,3,45,89,2,3,0,7,4,7,42,7.0,12.71,44.5,21.0,15.56,13.0,0.0,7.0,6.0,13.0,56.0,1.0,31.0,30.0,11.2,20.0,1.0,7.0,6.0,20.0,1,52
JR Hazlewood,39,892,1219,58,23,2,376,122,56,867,144.3,8.44,21.02,14.95,42.15,606.0,24.0,491.0,486.0,7.48,182.0,11.0,139.0,133.0,8.21,431.0,23.0,262.0,248.0,10.43,4,25
JR Hopes,20,369,562,14,9,0,105,44,28,360,60.0,9.37,40.14,25.71,28.46,26.0,1.0,18.0,18.0,8.67,320.0,7.0,238.0,234.0,8.21,216.0,6.0,113.0,108.0,12.0,2,31
JW Hastings,3,61,66,3,2,1,31,11,0,58,9.4,6.83,22.0,19.33,50.82,50.0,1.0,39.0,36.0,8.33,7.0,1.0,12.0,12.0,3.5,9.0,1.0,10.0,10.0,5.4,2,6
Jalaj S Saxena,1,18,27,0,0,0,5,4,0,18,3.0,9.0,999.0,999.0,27.78,10.0,0.0,6.0,6.0,10.0,17.0,0.0,12.0,12.0,8.5,0.0,0.0,0.0,0.0,0.0,0,27
Jaskaran Singh,7,111,174,6,5,4,39,23,4,102,17.0,10.24,29.0,17.0,35.14,53.0,2.0,46.0,42.0,7.57,46.0,1.0,32.0,30.0,9.2,75.0,3.0,33.0,30.0,15.0,2,30
Joginder Sharma,15,272,421,13,9,7,71,38,17,256,42.4,9.87,32.38,19.69,26.1,48.0,0.0,28.0,24.0,12.0,267.0,10.0,189.0,180.0,8.9,106.0,3.0,55.0,52.0,12.23,2,29
K Goel,6,67,94,0,1,0,19,9,2,66,11.0,8.55,999.0,999.0,28.36,0.0,0.0,0.0,0.0,0.0,94.0,0.0,67.0,66.0,8.55,0.0,0.0,0.0,0.0,0.0,0,25
K Gowtham,35,599,825,22,11,0,206,68,37,588,98.0,8.42,37.5,26.73,34.39,393.0,11.0,275.0,270.0,8.73,381.0,11.0,300.0,294.0,7.78,51.0,0.0,24.0,24.0,12.75,2,23
