bowler,matches,total_balls,runs_conceded,wickets,wides,noballs,dot_balls,fours_conceded,sixes_conceded,legal_balls,overs,economy,bowling_average,bowling_strike_rate,dot_ball_pct,powerplay_runs_conceded,powerplay_wickets,powerplay_balls,powerplay_legal_balls,powerplay_economy,middle_runs_conceded,middle_wickets,middle_balls,middle_legal_balls,middle_economy,death_runs_conceded,death_wickets,death_balls,death_legal_balls,death_economy,best_wickets,best_runs_in_best
SB Jakati,57,1101,1474,50,14,2,337,97,60,1085,180.5,8.15,29.48,21.7,30.61,139.0,1.0,97.0,96.0,8.69,1126.0,38.0,873.0,858.0,7.87,209.0,11.0,131.0,131.0,9.57,4,25
SB Joshi,4,55,82,1,0,0,18,6,5,55,9.1,8.95,82.0,55.0,32.73,0.0,0.0,0.0,0.0,0.0,69.0,0.0,48.0,48.0,8.62,13.0,1.0,7.0,7.0,11.14,1,27
SB Styris,11,222,278,9,6,0,83,19,14,216,36.0,7.72,30.89,24.0,37.39,45.0,1.0,45.0,42.0,6.43,118.0,1.0,111.0,108.0,6.56,115.0,7.0,66.0,66.0,10.45,3,32
SB Wagh,8,108,147,5,6,0,45,21,2,102,17.0,8.65,29.4,20.4,41.67,120.0,4.0,92.0,90.0,8.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,16.0,12.0,13.5,3,16
SC Ganguly,20,280,370,12,3,1,75,25,14,276,46.0,8.04,30.83,23.0,26.79,32.0,0.0,19.0,18.0,10.67,305.0,12.0,249.0,246.0,7.44,33.0,0.0,12.0,12.0,16.5,3,23
SC Kuggeleijn,2,50,71,2,2,0,17,6,3,48,8.0,8.88,35.5,24.0,34.0,11.0,0.0,6.0,6.0,11.0,27.0,0.0,19.0,18.0,9.0,33.0,2.0,25.0,24.0,8.25,2,37
SD Chitnis,2,38,62,2,2,0,9,4,3,36,6.0,10.33,31.0,18.0,23.68,13.0,0.0,7.0,6.0,13.0,40.0,1.0,24.0,24.0,10.0,9.0,1.0,7.0,6.0,9.0,2,41
SE Bond,8,191,225,9,5,0,75,27,3,186,31.0,7.26,25.0,20.67,39.27,95.0,4.0,92.0,90.0,6.33,43.0,3.0,43.0,42.0,6.14,87.0,2.0,56.0,54.0,9.67,2,32
SE Rutherford,6,46,60,1,5,0,7,4,1,41,6.5,8.78,60.0,41.0,15.22,0.0,0.0,0.0,0.0,0.0,58.0,1.0,41.0,36.0,9.67,2.0,0.0,5.0,5.0,2.4,1,6
SH Johnson,9,172,289,5,8,0,59,30,15,164,27.2,10.57,57.8,32.8,34.3,143.0,1.0,86.0,84.0,10.21,77.0,1.0,38.0,36.0,12.83,69.0,3.0,48.0,44.0,9.41,2,25
SJ Srivastava,14,306,444,15,23,1,103,50,13,282,47.0,9.45,29.6,18.8,33.66,211.0,5.0,142.0,132.0,9.59,145.0,4.0,104.0,96.0,9.06,88.0,6.0,60.0,54.0,9.78,2,23
SK Raina,69,930,1139,30,22,0,280,71,44,908,151.2,7.53,37.97,30.27,30.11,83.0,2.0,66.0,66.0,7.55,864.0,20.0,729.0,713.0,7.27,192.0,8.0,135.0,129.0,8.93,2,20
SK Trivedi,75,1557,1944,73,42,9,492,154,51,1506,251.0,7.75,26.63,20.63,31.6,198.0,7.0,136.0,126.0,9.43,1281.0,41.0,1106.0,1074.0,7.16,465.0,25.0,315.0,306.0,9.12,4,16
SK Warne,54,1223,1465,60,29,0,426,91,56,1194,199.0,7.36,24.42,19.9,34.83,59.0,1.0,37.0,36.0,9.83,1079.0,41.0,963.0,942.0,6.87,327.0,18.0,223.0,216.0,9.08,4,22
SL Malinga,122,2974,3486,188,129,18,1144,314,86,2827,471.1,7.4,18.54,15.04,38.47,1210.0,40.0,1164.0,1110.0,6.54,750.0,26.0,636.0,600.0,7.5,1526.0,122.0,1174.0,1117.0,8.2,5,13
SM Boland,2,43,56,3,1,0,14,6,1,42,7.0,8.0,18.67,14.0,32.56,22.0,1.0,18.0,18.0,7.33,10.0,0.0,6.0,6.0,10.0,24.0,2.0,19.0,18.0,8.0,3,31
SM Curran,63,1308,2059,63,48,7,394,197,89,1253,208.5,9.86,32.68,19.89,30.12,796.0,12.0,590.0,570.0,8.38,516.0,15.0,306.0,294.0,10.53,747.0,36.0,412.0,389.0,11.52,4,13
SM Harwood,3,67,74,3,7,0,33,6,2,60,10.0,7.4,24.67,20.0,49.25,7.0,1.0,19.0,18.0,2.33,21.0,1.0,22.0,18.0,7.0,46.0,1.0,26.0,24.0,11.5,2,26
SM Pollock,13,280,307,13,4,0,130,30,9,276,46.0,6.67,23.62,21.23,46.43,213.0,9.0,208.0,204.0,6.26,86.0,4.0,66.0,66.0,7.82,8.0,0.0,6.0,6.0,8.0,4,12
SMSM Senanayake,8,195,211,9,3,0,73,17,5,192,32.0,6.59,23.44,21.33,37.44,111.0,4.0,129.0,126.0,5.29,66.0,3.0,42.0,42.0,9.43,34.0,2.0,24.0,24.0,8.5,2,28
SN Khan,1,2,6,0,0,0,0,1,0,2,0.2,18.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,18.0,0,6
SN Thakur,102,2205,3284,115,124,11,699,312,129,2070,345.0,9.52,28.56,18.0,31.7,1094.0,28.0,728.0,700.0,9.38,909.0,31.0,698.0,657.0,8.3,1281.0,56.0,779.0,713.0,10.78,4,37
SP Narine,187,4421,5029,212,64,6,1653,318,188,4351,725.1,6.93,23.72,20.52,37.39,1071.0,28.0,945.0,924.0,6.95,2644.0,99.0,2402.0,2376.0,6.68,1314.0,85.0,1074.0,1051.0,7.5,5,20
SPD Smith,1,2,5,0,0,0,0,1,0,2,0.2,15.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,15.0,0,5
SR Tendulkar,4,37,59,0,1,0,4,6,1,36,6.0,9.83,999.0,999.0,10.81,0.0,0.0,0.0,0.0,0.0,40.0,0.0,31.0,30.0,8.0,19.0,0.0,6.0,6.0,19.0,0,11
SR Watson,105,2137,2742,107,95,13,803,293,74,2029,338.1,8.11,25.63,18.96,37.58,1015.0,35.0,872.0,834.0,7.3,766.0,17.0,634.0,618.0,7.44,961.0,55.0,631.0,577.0,9.99,4,23
SS Agarwal,1,24,42,1,0,0,7,3,3,24,4.0,10.5,42.0,24.0,29.17,11.0,0.0,6.0,6.0,11.0,31.0,1.0,18.0,18.0,10.33,0.0,0.0,0.0,0.0,0.0,1,42
SS Cottrell,6,131,177,6,11,0,58,19,8,120,20.0,8.85,29.5,20.0,44.27,108.0,4.0,92.0,84.0,7.71,21.0,0.0,20.0,18.0,7.0,48.0,2.0,19.0,18.0,16.0,2,24
SS Iyer,1,6,7,0,0,0,4,0,1,6,1.0,7.0,999.0,999.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,6.0,7.0,0,7
SS Mundhe,1,7,6,1,1,0,4,1,0,6,1.0,6.0,6.0,6.0,57.14,6.0,1.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6
SS Sarkar,2,25,34,1,0,0,4,4,0,25,4.1,8.16,34.0,25.0,16.0,15.0,0.0,6.0,6.0,15.0,6.0,0.0,6.0,6.0,6.0,13.0,1.0,13.0,13.0,6.0,1,15
SSB Magala,2,37,52,1,1,0,5,5,0,36,6.0,8.67,52.0,36.0,13.51,28.0,0.0,12.0,12.0,14.0,14.0,0.0,13.0,12.0,7.0,10.0,1.0,12.0,12.0,5.0,1,38
ST Jayasuriya,21,301,396,16,7,0,83,22,16,294,49.0,8.08,24.75,18.38,27.57,10.0,0.0,6.0,6.0,10.0,299.0,12.0,234.0,228.0,7.87,87.0,4.0,61.0,60.0,8.7,4,14
STR Binny,63,611,763,28,16,1,199,76,14,594,99.0,7.71,27.25,21.21,32.57,194.0,8.0,160.0,156.0,7.46,472.0,17.0,390.0,378.0,7.49,97.0,3.0,61.0,60.0,9.7,3,14
SW Tait,21,534,668,26,52,9,200,71,12,473,78.5,8.47,25.69,18.19,37.45,304.0,7.0,265.0,228.0,8.0,148.0,4.0,110.0,95.0,9.35,216.0,15.0,159.0,150.0,8.64,4,25
SZ Mulani,2,33,57,0,3,0,7,2,4,30,5.0,11.4,999.0,999.0,21.21,12.0,0.0,6.0,6.0,12.0,24.0,0.0,19.0,18.0,8.0,21.0,0.0,8.0,6.0,21.0,0,24
Sachin Baby,2,10,8,3,0,0,5,1,0,10,1.4,4.8,2.67,3.33,50.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,6.0,4.0,4.0,2.0,4.0,4.0,6.0,2,4
Sandeep Sharma,136,3168,4134,163,110,13,1174,395,143,3045,507.3,8.15,25.36,18.68,37.06,2007.0,66.0,1740.0,1690.0,7.13,833.0,27.0,638.0,612.0,8.17,1294.0,70.0,790.0,743.0,10.45,5,18
Shahbaz Ahmed,45,605,953,22,15,2,152,62,53,588,98.0,9.72,43.32,26.73,25.12,246.0,2.0,153.0,150.0,9.84,654.0,15.0,410.0,399.0,9.83,53.0,5.0,42.0,39.0,8.15,3,7
Shahid Afridi,10,185,237,9,4,1,57,19,7,180,30.0,7.9,26.33,20.0,30.81,26.0,1.0,25.0,24.0,6.5,152.0,6.0,123.0,120.0,7.6,59.0,2.0,37.0,36.0,9.83,3,28
Shakib Al Hasan,70,1515,1864,71,31,0,504,120,78,1484,247.2,7.54,26.25,20.9,33.27,571.0,19.0,455.0,450.0,7.61,981.0,38.0,855.0,840.0,7.01,312.0,14.0,205.0,194.0,9.65,3,28
Shashank Singh,4,31,52,1,1,0,5,6,1,30,5.0,10.4,52.0,30.0,16.13,0.0,0.0,0.0,0.0,0.0,36.0,1.0,25.0,24.0,9.0,16.0,0.0,6.0,6.0,16.0,1,5
Shivam Mavi,32,687,958,33,32,6,254,92,38,649,108.1,8.86,29.03,19.67,36.97,421.0,9.0,311.0,300.0,8.42,185.0,9.0,167.0,162.0,6.85,352.0,15.0,209.0,187.0,11.29,4,21
Shivam Sharma,5,114,165,4,0,0,37,9,10,114,19.0,8.68,41.25,28.5,32.46,0.0,0.0,0.0,0.0,0.0,127.0,4.0,90.0,90.0,8.47,38.0,0.0,24.0,24.0,9.5,2,26
Shoaib Ahmed,7,103,154,5,1,0,33,14,7,102,17.0,9.06,30.8,20.4,32.04,37.0,1.0,18.0,18.0,12.33,75.0,4.0,67.0,66.0,6.82,42.0,0.0,18.0,18.0,14.0,2,22
Shoaib Akhtar,3,46,54,5,4,0,23,6,2,42,7.0,7.71,10.8,8.4,50.0,54.0,5.0,46.0,42.0,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,11
Shoaib Malik,5,58,87,2,6,1,15,7,3,51,8.3,10.24,43.5,25.5,25.86,0.0,0.0,0.0,0.0,0.0,62.0,1.0,42.0,36.0,10.33,25.0,1.0,16.0,15.0,10.0,1,32
Sikandar Raza,7,88,146,3,3,1,21,15,4,84,14.0,10.43,48.67,28.0,23.86,28.0,0.0,13.0,12.0,14.0,118.0,3.0,75.0,72.0,9.83,0.0,0.0,0.0,0.0,0.0,1,26
Simarjeet Singh,14,256,411,12,14,2,102,36,25,240,40.0,10.28,34.25,20.0,39.84,215.0,5.0,131.0,126.0,10.24,132.0,5.0,85.0,78.0,10.15,64.0,2.0,40.0,36.0,10.67,3,26
Sohail Tanvir,11,265,275,24,17,1,121,27,7,247,41.1,6.68,11.46,10.29,45.66,145.0,6.0,146.0,132.0,6.59,8.0,0.0,12.0,12.0,4.0,122.0,18.0,107.0,103.0,7.11,6,15
Sumit Kumar,2,22,38,0,2,0,4,3,2,20,3.2,11.4,999.0,999.0,18.18,0.0,0.0,0.0,0.0,0.0,30.0,0.0,18.0,18.0,10.0,8.0,0.0,4.0,2.0,24.0,0,19
Sunny Gupta,1,19,47,0,1,0,0,4,3,18,3.0,15.67,999.0,999.0,0.0,12.0,0.0,6.0,6.0,12.0,35.0,0.0,13.0,12.0,17.5,0.0,0.0,0.0,0.0,0.0,0,47
Suryansh Shedge,1,19,40,0,0,1,1,3,2,18,3.0,13.33,999.0,999.0,5.26,0.0,0.0,0.0,0.0,0.0,14.0,0.0,12.0,12.0,7.0,26.0,0.0,7.0,6.0,26.0,0,40
Suyash Sharma,27,569,835,20,10,1,178,63,42,558,93.0,8.98,41.75,27.9,31.28,22.0,3.0,18.0,18.0,7.33,685.0,15.0,476.0,468.0,8.78,128.0,2.0,75.0,72.0,10.67,3,30
Swapnil Singh,14,165,241,7,2,1,39,14,12,162,27.0,8.93,34.43,23.14,23.64,62.0,5.0,43.0,42.0,8.86,179.0,2.0,122.0,120.0,8.95,0.0,0.0,0.0,0.0,0.0,2,40
T Henderson,2,36,41,1,0,0,14,5,0,36,6.0,6.83,41.0,36.0,38.89,0.0,0.0,0.0,0.0,0.0,13.0,1.0,18.0,18.0,4.33,28.0,0.0,18.0,18.0,9.33,1,30
T Natarajan,63,1426,2054,77,63,1,423,184,78,1362,227.0,9.05,26.68,17.69,29.66,535.0,17.0,389.0,378.0,8.49,567.0,12.0,450.0,427.0,7.97,952.0,48.0,587.0,557.0,10.25,4,19
T Shamsi,5,120,185,3,0,0,28,14,8,120,20.0,9.25,61.67,40.0,23.33,0.0,0.0,0.0,0.0,0.0,143.0,2.0,102.0,102.0,8.41,42.0,1.0,18.0,18.0,14.0,1,37
T Stubbs,5,37,69,4,1,0,12,4,6,36,6.0,11.5,17.25,9.0,32.43,0.0,0.0,0.0,0.0,0.0,64.0,4.0,31.0,30.0,12.8,5.0,0.0,6.0,6.0,5.0,2,11
T Thushara,6,144,164,10,7,2,57,15,4,135,22.3,7.29,16.4,13.5,39.58,60.0,3.0,63.0,60.0,6.0,24.0,1.0,33.0,30.0,4.8,80.0,6.0,48.0,45.0,10.67,4,29
TA Boult,119,2785,3806,151,96,2,1110,429,126,2687,447.5,8.5,25.21,17.79,39.86,1980.0,73.0,1662.0,1612.0,7.37,538.0,17.0,371.0,354.0,9.12,1288.0,61.0,752.0,721.0,10.72,4,18
TG Southee,54,1262,1774,57,52,4,447,175,62,1206,201.0,8.83,31.12,21.16,35.42,863.0,21.0,662.0,636.0,8.14,289.0,11.0,232.0,222.0,7.81,622.0,25.0,368.0,348.0,10.72,5,31
TK Curran,13,252,432,13,11,3,57,33,23,238,39.4,10.89,33.23,18.31,22.62,67.0,1.0,44.0,42.0,9.57,132.0,5.0,89.0,85.0,9.32,233.0,7.0,119.0,111.0,12.59,3,29
TL Suman,11,152,198,7,0,2,43,8,10,150,25.0,7.92,28.29,21.43,28.29,6.0,0.0,6.0,6.0,6.0,144.0,5.0,121.0,120.0,7.2,48.0,2.0,25.0,24.0,12.0,2,14
TM Dilshan,25,275,368,5,4,0,79,27,15,271,45.1,8.15,73.6,54.2,28.73,62.0,0.0,44.0,42.0,8.86,275.0,4.0,206.0,204.0,8.09,31.0,1.0,25.0,25.0,7.44,1,3
TM Head,6,58,113,3,0,0,9,6,8,58,9.4,11.69,37.67,19.33,15.52,0.0,0.0,0.0,0.0,0.0,86.0,0.0,40.0,40.0,12.9,27.0,3.0,18.0,18.0,9.0,2,30
TP Sudhindra,3,74,137,1,3,1,18,9,9,70,11.4,11.74,137.0,70.0,24.32,40.0,0.0,26.0,24.0,10.0,47.0,1.0,26.0,24.0,11.75,50.0,0.0,22.0,22.0,13.64,1,47
TS Mills,10,218,349,11,9,0,69,37,14,209,34.5,10.02,31.73,19.0,31.65,106.0,6.0,78.0,72.0,8.83,133.0,1.0,73.0,72.0,11.08,110.0,4.0,67.0,65.0,10.15,3,35
TU Deshpande,46,1043,1617,55,71,7,341,158,69,965,160.5,10.05,29.4,17.55,32.69,702.0,18.0,491.0,474.0,8.89,299.0,7.0,202.0,180.0,9.97,616.0,30.0,350.0,311.0,11.88,4,27
Tejas Baroka,1,21,33,0,0,0,6,2,2,21,3.3,9.43,999.0,999.0,28.57,8.0,0.0,6.0,6.0,8.0,16.0,0.0,12.0,12.0,8.0,9.0,0.0,3.0,3.0,18.0,0,33
Tilak Varma,4,23,28,0,1,0,8,4,0,22,3.4,7.64,999.0,999.0,34.78,7.0,0.0,6.0,6.0,7.0,13.0,0.0,13.0,12.0,6.5,8.0,0.0,4.0,4.0,12.0,0,6
UT Yadav,147,3190,4442,163,110,24,1186,473,151,3056,509.2,8.72,27.25,18.75,37.18,1926.0,61.0,1512.0,1452.0,7.96,1204.0,37.0,901.0,872.0,8.28,1312.0,65.0,777.0,732.0,10.75,4,21
Umar Gul,6,153,198,14,12,6,51,17,5,135,22.3,8.8,14.14,9.64,33.33,42.0,5.0,42.0,36.0,7.0,68.0,4.0,58.0,54.0,7.56,88.0,5.0,53.0,45.0,11.73,4,36
Umran Malik,26,519,785,31,22,4,205,93,29,493,82.1,9.55,25.32,15.9,39.5,95.0,0.0,32.0,30.0,19.0,563.0,24.0,412.0,390.0,8.66,127.0,7.0,75.0,73.0,10.44,5,28
V Kaverappa,1,24,36,2,0,0,11,2,3,24,4.0,9.0,18.0,12.0,45.83,20.0,2.0,18.0,18.0,6.67,16.0,0.0,6.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,2,36
V Kohli,26,264,371,5,7,6,52,25,11,251,41.5,8.87,74.2,50.2,19.7,0.0,0.0,0.0,0.0,0.0,315.0,4.0,237.0,225.0,8.4,56.0,1.0,27.0,26.0,12.92,2,25
V Nigam,13,244,361,12,6,4,72,22,21,234,39.0,9.26,30.08,19.5,29.51,76.0,5.0,50.0,48.0,9.5,248.0,5.0,155.0,150.0,9.92,37.0,2.0,39.0,36.0,6.17,2,27
V Pratap Singh,9,211,300,12,7,0,71,31,10,204,34.0,8.82,25.0,17.0,33.65,140.0,3.0,100.0,96.0,8.75,89.0,3.0,68.0,66.0,8.09,71.0,6.0,43.0,42.0,10.14,3,31
V Puthur,5,73,109,6,1,0,24,4,9,72,12.0,9.08,18.17,12.0,32.88,0.0,0.0,0.0,0.0,0.0,85.0,6.0,60.0,60.0,8.5,24.0,0.0,13.0,12.0,12.0,3,32
V Sehwag,15,138,236,6,1,1,44,19,16,136,22.4,10.41,39.33,22.67,31.88,47.0,0.0,14.0,12.0,23.5,139.0,4.0,102.0,102.0,8.18,50.0,2.0,22.0,22.0,13.64,2,18
V Shankar,22,258,344,12,15,5,80,29,12,238,39.4,8.67,28.67,19.83,31.01,14.0,0.0,11.0,8.0,10.5,264.0,9.0,196.0,185.0,8.56,66.0,3.0,51.0,45.0,8.8,2,19
V Viyaskanth,3,60,90,1,0,0,16,4,6,60,10.0,9.0,90.0,60.0,26.67,0.0,0.0,0.0,0.0,0.0,90.0,1.0,60.0,60.0,9.0,0.0,0.0,0.0,0.0,0.0,1,41
VG Arora,32,690,1029,39,42,10,237,111,39,638,106.2,9.68,26.38,16.36,34.35,630.0,18.0,455.0,426.0,8.87,153.0,5.0,85.0,78.0,11.77,246.0,16.0,150.0,134.0,11.01,3,27
VR Aaron,50,1065,1527,46,63,8,387,159,52,994,165.4,9.22,33.2,21.61,36.34,569.0,15.0,407.0,384.0,8.89,552.0,15.0,427.0,402.0,8.24,406.0,16.0,231.0,208.0,11.71,3,16
VR Iyer,9,84,145,3,2,1,15,12,7,81,13.3,10.74,48.33,27.0,17.86,0.0,0.0,0.0,0.0,0.0,90.0,1.0,49.0,48.0,11.25,55.0,2.0,35.0,33.0,10.0,2,30
VRV Singh,18,371,549,16,7,4,114,58,16,360,60.0,9.15,34.31,22.5,30.73,136.0,1.0,81.0,78.0,10.46,250.0,4.0,179.0,174.0,8.62,163.0,11.0,111.0,108.0,9.06,3,29
VS Malik,13,212,268,6,5,2,84,30,6,205,34.1,7.84,44.67,34.17,39.62,157.0,4.0,130.0,126.0,7.48,99.0,2.0,75.0,72.0,8.25,12.0,0.0,7.0,7.0,10.29,2,14
VS Yeligati,2,32,61,0,2,0,6,7,2,30,5.0,12.2,999.0,999.0,18.75,13.0,0.0,6.0,6.0,13.0,35.0,0.0,20.0,18.0,11.67,13.0,0.0,6.0,6.0,13.0,0,16
VY Mahesh,17,359,511,22,13,7,120,47,20,339,56.3,9.04,23.23,15.41,33.43,149.0,4.0,82.0,78.0,11.46,281.0,7.0,213.0,198.0,8.52,81.0,11.0,64.0,63.0,7.71,5,36
Vijaykumar Vyshak,16,356,577,21,21,2,94,43,31,333,55.3,10.4,27.48,15.86,26.4,66.0,2.0,44.0,42.0,9.43,336.0,11.0,223.0,210.0,9.6,175.0,8.0,89.0,81.0,12.96,4,24
Vivrant Sharma,2,21,37,0,2,1,5,1,3,18,3.0,12.33,999.0,999.0,23.81,0.0,0.0,0.0,0.0,0.0,37.0,0.0,21.0,18.0,12.33,0.0,0.0,0.0,0.0,0.0,0,18
W O'Rourke,3,64,132,6,2,0,15,16,6,62,10.2,12.77,22.0,10.33,23.44,52.0,2.0,25.0,24.0,13.0,50.0,2.0,25.0,24.0,12.5,30.0,2.0,14.0,14.0,12.86,3,27
WA Mota,7,75,98,4,2,1,24,4,5,72,12.0,8.17,24.5,18.0,32.0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,50.0,48.0,6.25,48.0,1.0,25.0,24.0,12.0,1,24
WD Parnell,33,758,968,40,29,6,296,102,24,723,120.3,8.03,24.2,18.08,39.05,490.0,16.0,393.0,372.0,7.9,141.0,3.0,122.0,120.0,7.05,337.0,21.0,243.0,231.0,8.75,4,36
WG Jacks,13,145,221,8,6,1,42,17,11,138,23.0,9.61,27.62,17.25,28.97,60.0,2.0,37.0,36.0,10.0,149.0,6.0,101.0,96.0,9.31,12.0,0.0,7.0,6.0,12.0,2,14
WPUJC Vaas,13,288,364,22,4,2,128,40,13,282,47.0,7.74,16.55,12.82,44.44,211.0,17.0,200.0,198.0,6.39,57.0,1.0,39.0,36.0,9.5,96.0,4.0,49.0,48.0,12.0,3,52
Washington Sundar,63,1131,1447,41,10,2,371,97,65,1119,186.3,7.76,35.29,27.29,32.8,547.0,14.0,391.0,384.0,8.55,773.0,22.0,659.0,654.0,7.09,127.0,5.0,81.0,81.0,9.41,3,16
XC Bartlett,4,60,96,2,0,0,28,11,5,60,10.0,9.6,48.0,30.0,46.67,72.0,2.0,48.0,48.0,9.0,24.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1,30
Y Gnaneswara Rao,1,6,7,0,0,0,3,1,0,6,1.0,7.0,999.0,999.0,50.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0,7
Y Nagar,8,72,125,4,2,4,16,11,6,66,11.0,11.36,31.25,16.5,22.22,10.0,0.0,6.0,6.0,10.0,115.0,4.0,66.0,60.0,11.5,0.0,0.0,0.0,0.0,0.0,2,20
Y Prithvi Raj,2,33,57,1,3,0,8,6,2,30,5.0,11.4,57.0,30.0,24.24,33.0,0.0,13.0,12.0,16.5,24.0,1.0,20.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,1,29
Y Venugopal Rao,20,222,338,7,6,0,59,30,13,216,36.0,9.39,48.29,30.86,26.58,67.0,1.0,42.0,42.0,9.57,218.0,5.0,156.0,150.0,8.72,53.0,1.0,24.0,24.0,13.25,2,25
YA Abdulla,11,222,311,15,12,1,88,32,13,209,34.5,8.93,20.73,13.93,39.64,103.0,7.0,89.0,84.0,7.36,92.0,2.0,69.0,66.0,8.36,116.0,6.0,64.0,59.0,11.8,4,31
YBK Jaiswal,1,1,6,0,0,0,0,0,1,1,0.1,36.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,36.0,0,6
YK Pathan,82,1184,1443,46,37,0,393,99,57,1147,191.1,7.55,31.37,24.93,33.19,402.0,15.0,368.0,354.0,6.81,914.0,27.0,735.0,714.0,7.68,127.0,4.0,81.0,79.0,9.65,3,22
YS Chahal,172,3905,5112,229,105,9,1266,299,250,3791,631.5,8.09,22.32,16.55,32.42,538.0,19.0,409.0,404.0,7.99,3555.0,141.0,2824.0,2744.0,7.77,1019.0,69.0,672.0,643.0,9.51,5,40
Yash Dayal,43,920,1412,45,39,10,307,139,58,871,145.1,9.73,31.38,19.36,33.37,701.0,17.0,454.0,438.0,9.6,289.0,9.0,214.0,205.0,8.46,422.0,19.0,252.0,228.0,11.11,4,20
Yash Thakur,21,475,782,28,28,4,138,64,43,443,73.5,10.59,27.93,15.82,29.05,184.0,7.0,114.0,108.0,10.22,252.0,5.0,164.0,154.0,9.82,346.0,16.0,197.0,181.0,11.47,5,31
Yudhvir Singh,9,145,257,8,6,1,54,28,13,138,23.0,11.17,32.12,17.25,37.24,148.0,6.0,88.0,84.0,10.57,73.0,1.0,39.0,36.0,12.17,36.0,1.0,18.0,18.0,12.0,3,48
Yuvraj Singh,73,882,1091,39,12,1,258,59,41,869,144.5,7.53,27.97,22.28,29.25,0.0,0.0,0.0,0.0,0.0,933.0,33.0,768.0,756.0,7.4,158.0,6.0,114.0,113.0,8.39,4,29
Z Khan,99,2276,2860,119,74,2,873,312,64,2200,366.4,7.8,24.03,18.49,38.36,1492.0,58.0,1346.0,1292.0,6.93,422.0,15.0,310.0,301.0,8.41,946.0,46.0,620.0,607.0,9.35,4,21
Zeeshan Ansari,10,209,334,8,5,1,47,24,17,203,33.5,9.87,41.75,25.38,22.49,0.0,0.0,0.0,0.0,0.0,284.0,8.0,184.0,180.0,9.47,50.0,0.0,25.0,23.0,13.04,3,42
